"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:TRZ","Transat A.T. Inc","TRZ","01/28/2009","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","CA89351T4019","BD5WCH2","174,769,072","CAD","Analyze"
"CT:RMX","Rubicon Minerals Corporation","RMX","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","171,486,128","CAD","Analyze"
"CT:S","Sherritt International Corporation","S","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA8239011031","2804158","170,832,992","CAD","Analyze"
"CT:TLG","Troilus Gold Corp.","TLG","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA8968871068","","166,063,648","CAD","Analyze"
"CT:MDNA","Medicenna Therapeutics Corp.","MDNA","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA58490H1073","","160,152,048","CAD","Analyze"
"CT:MYA","Maya Gold And Silver Inc","MYA","07/24/2008","Global Equity","Common stocks","Developed markets ex-US","Materials","CA5778385016","BFZ2TF3","159,892,480","CAD","Analyze"
"CT:ONC","Oncolytics Biotech Inc.","ONC","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA6823108759","","145,643,216","CAD","Analyze"
"CT:BAR","Balmoral Resources Ltd.","BAR","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","142,858,400","CAD","Analyze"
"CT:RME","Rocky Mountain Dealerships Inc.","RME","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA77467Q1063","","142,500,320","CAD","Analyze"
"CT:NMX","Nemaska Lithium Inc","NMX","01/20/2010","Global Equity","Common stocks","Developed markets ex-US","Materials","CA64045C1068","B733H36","139,859,616","CAD","Analyze"
"CT:USA","Americas Silver Corporation","USA","07/11/2006","Global Equity","Common stocks","Developed markets ex-US","Materials","CA03063L7051","BK7CQN3","137,127,008","CAD","Analyze"
